Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Fat_Percentage,BMI,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level_enc,Cluster,Workout_Type,Experience_Level
186,149,63,1.25,15.3,18.0,4.8,6,2,1,Strength,2
180,144,62,1.42,10.5,26.9,4.7,7,3,1,Strength,3
171,139,64,0.52,29.1,27.8,3.2,3,0,0,Strength,0
172,136,69,1.27,18.2,18.0,3.7,3,1,1,Cardio,1
190,171,58,1.09,16.8,27.1,3.4,6,3,1,HIIT,3
205,149,80,0.43,25.3,18.3,3.5,2,0,0,Yoga,0
180,146,68,1.22,25.8,18.0,4.2,5,2,1,Strength,2
194,177,80,0.41,34.9,29.3,2.4,3,0,0,HIIT,0
192,154,67,1.03,23.0,20.0,4.1,5,2,1,Strength,2
177,140,71,0.99,17.4,21.1,3.3,5,2,1,Cardio,2
205,162,62,1.31,15.2,28.0,4.0,5,3,1,Strength,3
192,147,63,0.78,17.5,22.8,2.5,5,1,0,Cardio,1
169,122,65,1.07,24.3,23.3,4.2,6,2,1,Yoga,2
192,151,75,0.25,26.2,23.2,2.1,2,0,0,Cardio,0
186,147,55,0.74,30.6,25.4,3.2,4,1,0,Strength,1
193,161,65,0.93,29.2,23.1,4.5,3,1,0,Mixed,1
165,152,80,0.89,26.1,24.5,3.5,4,1,0,HIIT,1
167,132,69,0.52,22.0,22.0,3.2,3,1,0,Cardio,1
163,127,59,1.13,15.9,25.4,3.4,7,3,1,Cardio,3
205,170,64,0.62,32.7,25.3,3.8,3,0,0,Mixed,0
162,134,68,0.25,28.9,31.6,2.5,3,0,0,Strength,0
165,149,62,1.33,11.0,22.5,3.9,7,3,1,HIIT,3
167,152,68,0.77,23.6,23.3,3.7,4,1,0,HIIT,1
189,170,64,0.72,22.4,25.0,3.6,4,1,0,HIIT,1
194,177,81,0.7,21.3,27.9,2.9,3,0,0,HIIT,0
196,140,71,0.27,27.7,19.6,3.7,3,0,0,Yoga,0
199,153,68,0.76,18.2,24.4,3.1,3,0,0,Cardio,0
194,141,75,0.67,26.5,18.0,3.5,2,0,0,Yoga,0
174,125,66,0.44,18.8,22.9,3.8,5,1,0,Yoga,1
175,140,61,0.98,13.8,28.3,3.8,7,2,1,Strength,2
178,137,60,1.32,18.8,21.1,3.6,6,3,1,Cardio,3
185,151,72,0.41,26.2,24.7,3.1,2,0,0,Strength,0
165,121,67,0.43,15.3,21.9,3.3,3,0,0,Yoga,0
169,140,73,0.69,16.6,20.6,3.3,3,1,0,Strength,1
166,127,79,0.25,33.4,27.9,3.2,3,0,0,Yoga,0
177,149,64,0.92,8.0,19.8,4.4,7,2,1,Mixed,2
178,131,73,0.95,24.4,25.2,4.0,4,1,0,Yoga,1
171,132,58,1.31,8.0,25.2,3.5,5,3,1,Cardio,3
193,154,65,0.27,21.6,20.6,3.5,3,0,0,Strength,0
175,161,79,0.35,24.1,24.6,3.1,3,0,0,HIIT,0
162,149,75,1.03,29.7,20.3,3.9,3,0,0,HIIT,0
190,150,76,0.5,36.2,26.1,2.5,2,0,0,Cardio,0
205,163,64,0.9,17.6,18.7,3.9,4,2,1,Strength,2
205,183,59,0.84,16.2,22.6,3.6,7,3,1,HIIT,3
203,165,76,0.63,26.4,23.0,3.3,2,0,0,Strength,0
183,167,76,0.63,25.4,28.5,3.3,2,0,0,HIIT,0
187,150,81,0.57,29.2,24.6,3.1,2,0,0,Cardio,0
159,146,72,0.94,19.4,27.8,3.6,3,1,0,HIIT,1
178,163,76,0.77,27.6,26.2,3.2,5,1,0,HIIT,1
198,179,73,0.94,23.7,26.2,3.4,5,2,0,HIIT,2
194,146,57,1.0,20.5,22.7,3.5,6,2,1,Cardio,2
192,140,76,0.65,22.1,28.1,4.1,5,1,0,Yoga,1
175,144,73,1.12,20.5,22.6,4.6,5,1,1,Strength,1
165,141,67,1.1,24.9,18.0,4.2,7,2,1,Mixed,2
179,153,75,1.08,24.4,23.1,4.5,5,1,1,Mixed,1
177,162,74,0.58,26.3,25.8,2.8,3,0,0,HIIT,0
160,135,78,0.37,25.8,18.0,3.2,2,0,0,Strength,0
166,152,70,0.6,28.9,20.5,2.8,3,0,0,HIIT,0
205,162,63,1.39,21.0,19.1,4.3,4,1,1,Strength,1
173,148,73,0.9,34.6,27.1,3.8,4,1,0,Mixed,1
165,151,75,0.68,34.3,30.7,2.8,3,0,0,HIIT,0
174,158,65,0.95,18.5,23.2,3.3,4,2,1,HIIT,2
166,136,66,0.82,23.6,26.1,3.5,3,1,0,Strength,1
192,140,77,0.34,28.7,26.0,3.5,3,0,0,Yoga,0
172,156,63,0.71,16.0,30.2,3.2,5,2,1,HIIT,2
156,133,65,0.92,17.1,21.4,4.2,5,2,1,Mixed,2
198,179,73,0.31,26.4,23.1,2.6,2,0,0,HIIT,0
170,130,56,1.32,12.8,22.6,3.1,7,3,1,Cardio,3
194,152,74,0.46,21.4,24.3,2.9,2,0,0,Cardio,0
181,131,71,1.01,20.6,34.0,4.6,6,2,1,Yoga,2
171,137,58,1.14,8.0,24.1,4.0,5,3,1,Strength,3
205,156,64,1.03,16.9,20.6,3.5,7,2,1,Cardio,2
165,149,64,0.71,26.8,19.4,2.9,4,2,0,HIIT,2
199,178,57,1.31,17.5,29.0,3.6,7,3,1,HIIT,3
187,155,81,0.25,25.9,20.6,2.4,2,0,0,Strength,0
172,135,68,0.54,26.6,26.7,2.4,3,0,0,Cardio,0
189,159,70,1.08,17.2,21.3,4.3,3,1,1,Mixed,1
162,130,56,1.54,9.7,18.9,4.4,5,3,1,Strength,3
195,165,73,0.67,14.0,26.4,4.3,3,1,0,Mixed,1
186,167,61,1.14,13.1,21.5,3.5,7,3,1,HIIT,3
173,150,81,0.62,28.5,25.7,3.8,2,0,0,Mixed,0
172,141,69,1.09,16.2,26.0,3.7,7,2,1,Strength,2
163,127,60,0.75,15.4,26.2,3.1,7,3,1,Cardio,3
205,166,74,0.55,18.4,22.9,3.1,5,1,0,Strength,1
174,124,64,1.13,15.6,26.7,4.8,6,3,1,Yoga,3
186,134,70,0.66,23.1,20.3,3.9,3,0,0,Yoga,0
159,135,64,1.18,12.9,18.0,4.5,7,3,1,Mixed,3
200,179,61,1.05,9.7,26.8,3.8,7,3,1,HIIT,3
163,133,77,0.83,23.7,24.7,3.3,3,0,0,Cardio,0
197,165,68,1.17,28.5,21.6,4.6,3,1,0,Mixed,1
197,157,66,0.57,17.4,18.1,3.1,5,1,0,Strength,1
177,129,70,0.77,27.5,18.0,4.0,3,0,0,Yoga,0
194,146,58,0.77,25.3,24.2,3.0,3,0,0,Cardio,0
164,122,71,0.44,26.2,30.6,3.4,2,0,0,Yoga,0
172,141,82,0.86,22.5,23.4,2.9,3,1,0,Cardio,1
163,132,74,0.71,33.2,22.6,2.5,3,1,0,Cardio,1
181,127,62,1.34,13.2,23.9,5.1,6,3,1,Yoga,3
188,139,80,0.5,26.9,32.7,3.4,3,0,0,Yoga,0
168,136,64,0.89,16.6,27.0,4.3,4,2,1,Strength,2
171,142,73,0.59,34.8,20.3,3.6,3,0,0,Strength,0
178,138,64,1.4,9.6,24.1,3.3,5,2,1,Cardio,2
152,123,56,0.97,13.5,25.3,3.7,7,3,1,Strength,3
196,157,67,0.95,23.1,19.8,3.4,5,1,0,Strength,1
165,138,75,0.41,29.1,27.0,2.7,3,0,0,Strength,0
201,155,70,1.02,28.7,20.7,3.3,4,1,0,Cardio,1
203,184,82,0.83,28.8,18.0,3.7,2,0,0,HIIT,0
162,149,75,0.8,20.8,24.3,3.6,4,1,0,HIIT,1
193,161,68,0.37,25.3,23.7,3.7,3,0,0,Mixed,0
205,185,74,0.44,24.1,24.0,3.2,3,0,0,HIIT,0
195,134,59,1.09,17.6,20.9,4.0,6,2,1,Yoga,2
172,119,55,1.37,15.9,21.5,4.7,5,3,1,Yoga,3
183,149,70,1.01,21.7,28.5,3.5,5,1,1,Strength,1
167,145,78,0.38,27.1,25.8,3.8,2,0,0,Mixed,0
171,142,75,0.7,27.2,20.2,3.9,3,0,0,Strength,0
172,139,62,1.06,8.0,18.0,3.7,6,3,1,Strength,3
193,172,58,1.28,13.5,20.3,3.7,7,3,1,HIIT,3
179,147,70,0.56,27.7,24.6,3.1,3,0,0,Strength,0
198,163,58,1.25,13.0,21.5,4.3,7,3,1,Mixed,3
181,164,67,1.08,11.9,21.2,3.9,6,3,1,HIIT,3
160,139,77,1.15,24.8,21.6,4.1,3,0,0,Mixed,0
198,156,57,1.33,14.5,23.7,4.0,7,2,1,Strength,2
169,140,71,1.12,18.2,27.1,3.4,3,1,0,Strength,1
202,184,81,0.63,22.2,24.0,2.8,2,0,0,HIIT,0
196,155,79,0.67,27.2,24.2,2.8,3,0,0,Cardio,0
194,177,76,0.5,22.1,23.1,3.1,3,1,0,HIIT,1
159,123,55,0.99,17.9,22.0,3.2,7,3,1,Cardio,3
175,137,66,1.03,19.6,27.6,3.4,6,2,1,Cardio,2
198,179,73,0.81,23.7,27.0,3.1,3,0,0,HIIT,0
176,145,73,0.96,22.2,32.2,3.2,3,1,0,Strength,1
199,166,66,0.88,22.8,26.4,4.5,5,1,1,Mixed,1
182,147,66,0.92,32.5,22.0,3.4,4,1,0,Strength,1
198,152,65,1.1,21.3,20.4,3.6,4,2,1,Cardio,2
185,131,65,0.54,27.9,27.8,3.6,5,1,0,Yoga,1
176,151,76,0.4,28.4,20.7,4.0,3,0,0,Mixed,0
203,161,65,0.68,32.4,27.2,3.5,2,0,0,Strength,0
196,142,76,0.54,22.7,21.0,3.4,3,1,0,Yoga,1
179,123,55,0.8,13.3,25.4,3.9,7,2,1,Yoga,2
175,150,75,0.97,24.1,19.8,4.2,5,1,0,Mixed,1
205,157,67,1.09,24.4,27.1,3.8,5,1,1,Cardio,1
185,128,58,0.76,20.2,19.1,3.7,7,2,1,Yoga,2
160,120,71,0.74,28.5,25.1,3.6,5,1,0,Yoga,1
190,159,64,1.21,8.0,23.2,4.9,6,3,1,Mixed,3
181,166,81,0.6,25.9,24.4,2.9,2,0,0,HIIT,0
205,170,66,1.37,21.9,22.4,4.5,6,3,1,Mixed,3
190,148,71,0.63,23.9,22.3,2.9,2,0,0,Cardio,0
180,148,71,1.04,24.6,24.6,3.8,5,1,0,Strength,1
176,142,61,0.51,17.7,20.0,3.0,4,1,0,Strength,1
193,138,70,0.95,21.4,20.0,4.5,5,1,1,Yoga,1
156,114,62,1.03,19.1,22.6,4.3,5,3,1,Yoga,3
166,124,73,0.58,30.2,22.4,3.5,3,0,0,Yoga,0
166,133,56,0.94,21.8,20.0,3.8,5,2,1,Strength,2
162,132,62,1.29,17.3,27.7,4.0,6,2,1,Strength,2
192,155,85,0.66,24.9,22.7,2.9,3,0,0,Cardio,0
169,153,62,1.08,15.8,23.1,3.4,7,3,1,HIIT,3
205,184,68,0.86,14.8,18.7,3.3,3,1,0,HIIT,1
199,136,59,1.04,15.4,32.3,4.2,6,3,1,Yoga,3
169,133,67,0.82,15.8,33.7,2.8,6,2,1,Cardio,2
183,165,62,0.86,21.5,20.9,3.3,3,1,0,HIIT,1
183,131,68,0.84,26.3,28.9,4.6,2,0,0,Yoga,0
166,150,61,0.91,19.6,23.6,3.8,5,2,1,HIIT,2
169,155,72,0.59,26.3,30.4,3.2,2,0,0,HIIT,0
160,136,79,1.17,18.7,25.3,4.3,4,1,1,Strength,1
167,135,75,0.61,30.5,24.4,3.0,2,0,0,Cardio,0
196,159,72,0.6,20.2,18.0,3.6,2,0,0,Strength,0
184,135,75,0.69,29.3,20.5,3.4,3,0,0,Yoga,0
184,165,55,0.82,15.8,24.1,3.2,7,3,1,HIIT,3
195,156,65,0.92,24.4,24.8,4.2,5,1,1,Strength,1
196,156,61,1.03,19.8,19.1,3.8,7,2,1,Strength,2
186,147,55,1.47,20.1,21.1,4.4,7,3,1,Strength,3
195,176,71,0.82,17.0,26.2,3.3,5,2,1,HIIT,2
162,150,78,0.54,28.5,18.5,3.3,2,0,0,HIIT,0
179,127,64,0.83,16.9,24.5,4.3,4,1,1,Yoga,1
191,150,55,1.23,15.5,29.0,4.1,6,3,1,Strength,3
161,147,69,0.67,24.0,25.5,2.3,3,0,0,HIIT,0
162,120,69,0.75,19.7,25.3,4.0,4,1,0,Yoga,1
182,132,71,1.1,16.6,18.0,4.2,4,1,1,Yoga,1
190,155,72,0.86,18.5,20.7,3.6,5,1,0,Strength,1
203,137,55,1.09,11.1,32.2,4.4,5,3,1,Yoga,3
188,158,69,0.84,24.6,21.6,4.2,4,1,0,Mixed,1
174,139,75,0.51,38.8,29.1,2.9,3,0,0,Cardio,0
167,121,66,0.89,8.2,21.6,4.4,6,3,1,Yoga,3
183,143,69,0.94,20.5,22.9,3.6,5,2,1,Cardio,2
192,136,68,0.43,20.7,26.1,3.4,3,0,0,Yoga,0
195,156,66,0.61,30.9,24.4,3.5,2,0,0,Strength,0
170,131,59,1.08,16.8,25.5,3.6,7,3,1,Cardio,3
170,136,72,0.38,28.0,20.7,2.6,2,0,0,Cardio,0
160,126,65,1.01,21.8,19.5,3.1,5,1,1,Cardio,1
182,144,71,0.33,30.3,20.5,2.3,3,0,0,Cardio,0
167,120,63,1.17,23.3,21.9,4.0,7,3,1,Yoga,3
173,133,57,0.93,20.6,23.1,2.6,5,2,1,Cardio,2
169,142,79,0.54,26.3,28.1,3.3,4,1,0,Strength,1
175,141,61,0.84,20.6,24.3,3.3,5,2,1,Strength,2
174,146,63,0.73,14.8,25.9,3.8,7,3,1,Mixed,3
188,149,57,1.04,8.0,24.6,4.5,7,3,1,Strength,3
186,128,57,1.09,15.1,19.5,4.4,5,2,1,Yoga,2
197,157,64,0.9,19.4,24.1,3.4,5,2,1,Strength,2
169,153,64,0.95,28.3,24.5,3.6,5,1,0,HIIT,1
188,147,71,0.93,22.7,27.0,2.8,5,1,0,Cardio,1
159,131,65,0.97,24.0,19.7,3.8,7,2,1,Strength,2
163,117,62,0.99,16.5,18.0,4.3,6,2,1,Yoga,2
171,138,61,1.29,15.4,24.7,4.2,7,3,1,Strength,3
192,142,80,0.47,20.2,25.4,3.2,3,0,0,Yoga,0
165,150,64,0.92,27.7,23.3,3.4,7,2,1,HIIT,2
183,142,66,0.81,28.8,24.1,3.0,5,1,0,Cardio,1
176,160,67,0.76,18.4,27.5,2.9,5,2,1,HIIT,2
181,165,77,0.39,29.7,22.2,2.7,2,0,0,HIIT,0
200,166,64,1.28,18.1,22.9,4.6,5,2,1,Mixed,2
199,158,82,0.78,29.9,24.3,2.9,3,0,0,Cardio,0
205,184,64,0.71,20.7,19.1,3.1,5,2,1,HIIT,2
183,167,77,0.95,15.1,23.4,3.1,5,1,0,HIIT,1
160,127,67,0.92,25.6,23.7,2.9,3,1,0,Cardio,1
188,170,69,1.16,16.8,30.5,3.4,5,2,1,HIIT,2
187,148,59,1.21,19.3,22.8,4.3,7,3,1,Strength,3
179,148,76,0.73,27.2,24.8,3.5,3,0,0,Strength,0
173,138,55,1.13,15.5,27.7,3.4,7,2,1,Strength,2
164,136,85,0.45,20.9,20.7,2.7,2,0,0,Cardio,0
168,138,67,1.21,24.3,29.5,4.1,4,2,1,Strength,2
199,181,75,0.6,23.4,31.1,3.4,3,1,0,HIIT,1
168,137,63,0.59,18.3,23.9,3.4,3,1,0,Strength,1
164,139,66,1.16,18.2,21.8,4.4,4,2,1,Mixed,2
172,136,69,1.03,22.0,30.5,3.3,4,1,0,Cardio,1
181,131,70,0.92,30.2,27.2,3.8,3,0,0,Yoga,0
176,143,66,1.12,18.1,24.3,3.9,5,3,1,Strength,3
169,144,71,0.83,17.9,29.7,5.1,4,1,1,Mixed,1
178,145,70,0.9,24.2,29.3,4.0,3,1,0,Strength,1
169,126,73,0.58,24.3,22.7,4.0,4,1,0,Yoga,1
194,132,56,1.46,17.4,25.0,4.4,5,3,1,Yoga,3
182,155,76,0.89,21.4,26.3,4.6,3,0,0,Mixed,0
198,143,75,0.76,25.3,24.1,3.8,3,0,0,Yoga,0
171,141,71,0.63,12.9,18.4,3.7,4,1,0,Strength,1
185,158,75,0.56,19.8,20.2,4.3,5,1,0,Mixed,1
170,145,73,0.63,21.2,18.6,3.6,2,0,0,Mixed,0
181,163,62,0.95,23.5,26.0,3.3,7,2,1,HIIT,2
176,139,72,0.32,26.4,19.3,2.1,2,0,0,Cardio,0
204,140,62,1.31,13.1,24.8,4.7,7,2,1,Yoga,2
163,149,71,1.4,27.5,31.3,3.7,7,2,1,HIIT,2
161,135,75,0.67,31.2,29.7,3.4,2,0,0,Strength,0
167,137,80,0.71,29.4,18.0,2.7,2,0,0,Cardio,0
182,148,66,0.8,11.6,18.9,4.2,7,2,1,Strength,2
165,149,61,1.29,21.8,20.9,3.8,5,2,1,HIIT,2
163,147,57,1.25,20.3,19.3,3.9,6,2,1,HIIT,2
165,150,68,0.42,30.8,18.0,2.9,3,0,0,HIIT,0
173,132,56,1.11,10.8,24.0,3.1,5,3,1,Cardio,3
179,141,70,0.84,15.7,26.8,2.7,6,2,1,Cardio,2
170,157,82,0.56,32.9,27.8,3.0,3,0,0,HIIT,0
180,131,70,0.84,27.0,22.1,3.8,5,1,0,Yoga,1
166,142,70,0.76,14.9,22.9,4.6,4,2,1,Mixed,2
205,145,72,0.36,31.3,25.4,3.7,2,0,0,Yoga,0
181,162,57,1.23,11.9,23.6,4.2,6,3,1,HIIT,3
168,123,69,1.32,17.0,27.2,4.4,4,2,1,Yoga,2
156,144,76,0.65,31.4,25.7,3.5,3,0,0,HIIT,0
168,152,64,1.32,16.4,22.5,4.3,7,3,1,HIIT,3
201,181,70,0.98,19.8,18.0,3.0,4,1,0,HIIT,1
164,135,68,0.75,20.6,30.0,3.4,4,1,0,Strength,1
182,129,64,0.72,14.9,21.3,4.0,6,2,1,Yoga,2
180,164,72,0.92,22.0,25.4,3.4,3,1,0,HIIT,1
181,148,71,0.96,18.1,18.0,3.7,5,1,1,Strength,1
184,167,70,0.52,30.2,24.0,2.6,2,0,0,HIIT,0
199,141,69,1.14,21.3,24.4,4.2,5,1,1,Yoga,1
177,160,62,0.6,24.3,24.6,3.4,3,1,0,HIIT,1
159,132,68,0.71,23.6,35.0,3.5,4,1,0,Strength,1
200,140,65,0.91,15.5,21.5,4.2,3,1,1,Yoga,1
178,147,55,0.52,18.7,27.3,4.5,3,1,1,Mixed,1
191,158,81,0.88,22.0,26.1,3.7,4,1,0,Strength,1
163,148,66,1.17,21.9,21.3,3.9,4,1,1,HIIT,1
170,125,70,0.91,25.3,27.2,4.2,2,0,0,Yoga,0
196,167,83,0.7,28.3,23.3,4.4,3,0,0,Mixed,0
168,153,64,0.68,17.0,27.5,3.3,3,1,0,HIIT,1
167,132,68,0.59,31.3,31.8,2.4,3,0,0,Cardio,0
162,149,74,0.68,23.5,24.6,3.3,3,0,0,HIIT,0
170,146,73,0.65,26.9,22.9,4.1,3,0,0,Mixed,0
175,144,72,0.77,27.6,28.2,3.2,2,0,0,Strength,0
180,151,65,0.46,19.0,29.6,3.7,3,1,0,Mixed,1
185,168,69,0.69,26.5,20.5,3.0,5,1,0,HIIT,1
182,152,83,0.75,24.1,22.2,3.3,2,0,0,Strength,0
195,137,67,0.72,28.6,26.7,3.4,3,0,0,Yoga,0
171,144,79,0.66,19.7,23.5,3.8,2,0,0,Strength,0
190,173,78,1.03,20.3,20.2,3.6,5,1,0,HIIT,1
204,182,62,1.23,24.1,26.2,3.9,7,2,1,HIIT,2
193,158,77,0.34,22.0,26.7,3.1,2,0,0,Strength,0
186,151,69,0.87,24.2,22.7,4.0,4,1,0,Strength,1
184,149,66,0.82,28.9,24.2,3.5,3,0,0,Strength,0
198,181,81,0.58,29.6,21.7,3.2,2,0,0,HIIT,0
183,144,70,0.78,23.7,19.6,3.6,5,1,0,Cardio,1
187,151,67,0.91,20.2,22.0,3.6,5,1,1,Strength,1
178,145,67,0.25,19.2,24.3,3.1,2,0,0,Strength,0
168,128,78,0.54,19.8,18.1,3.7,3,0,0,Yoga,0
199,169,76,0.48,30.3,22.3,3.9,2,0,0,Mixed,0
167,123,68,0.98,18.5,24.4,3.7,5,2,1,Yoga,2
176,142,78,0.93,32.4,28.8,3.2,2,0,0,Cardio,0
183,149,71,0.73,26.8,22.7,3.4,3,0,0,Strength,0
183,164,55,0.61,20.6,19.0,2.7,6,2,1,HIIT,2
179,143,74,0.43,19.6,23.2,3.1,2,0,0,Cardio,0
177,162,74,0.25,22.1,21.7,3.0,3,0,0,HIIT,0
166,139,76,0.56,33.7,26.2,3.6,3,0,0,Strength,0
197,169,83,0.62,30.2,22.6,3.9,3,0,0,Mixed,0
177,162,75,0.65,24.3,18.0,2.9,3,0,0,HIIT,0
162,118,63,1.07,22.1,35.0,4.1,6,3,1,Yoga,3
172,123,62,0.99,18.5,24.6,4.0,6,3,1,Yoga,3
191,172,63,0.67,23.2,24.4,3.2,3,1,0,HIIT,1
198,138,64,0.85,26.9,18.0,4.0,5,1,1,Yoga,1
158,129,76,0.75,18.0,18.1,3.1,5,1,0,Cardio,1
197,151,66,0.79,19.0,23.6,3.1,5,1,0,Cardio,1
192,154,67,1.21,22.6,25.3,4.3,4,2,1,Strength,2
165,150,65,0.86,17.7,26.8,3.3,4,1,0,HIIT,1
169,138,79,0.65,26.8,24.9,3.5,3,0,0,Cardio,0
172,144,76,0.75,22.2,19.3,3.8,3,0,0,Strength,0
165,128,59,1.32,8.0,18.0,3.8,7,3,1,Cardio,3
197,144,78,0.74,23.5,23.6,3.5,3,0,0,Yoga,0
187,168,61,1.17,18.4,21.9,3.8,5,3,1,HIIT,3
166,135,61,0.94,23.6,18.9,3.2,5,2,1,Strength,2
182,132,70,0.8,25.1,27.3,3.5,4,1,0,Yoga,1
190,151,78,0.43,29.9,18.0,2.9,3,0,0,Cardio,0
192,164,81,0.51,23.0,26.5,4.0,3,0,0,Mixed,0
185,156,69,0.71,24.7,18.4,4.4,3,1,0,Mixed,1
176,151,74,0.88,18.9,24.5,4.3,6,2,1,Mixed,2
172,139,61,0.88,10.7,27.7,3.6,7,2,1,Strength,2
153,139,62,0.97,23.4,22.6,3.4,5,1,1,HIIT,1
178,126,63,1.05,25.9,30.8,4.0,4,1,1,Yoga,1
175,142,65,1.15,23.4,31.7,3.6,7,2,1,Strength,2
192,159,60,1.12,8.0,24.9,4.8,7,3,1,Mixed,3
187,168,61,1.26,16.6,26.2,3.7,5,3,1,HIIT,3
